fam162a	FAM162B
si:ch211-212c13.10	A2ML1
si:ch211-212c13.10	PZP
gyg2	GYG2
cd79b	CD79B
hbl4	MBL2
pou1f1	POU1F1
ngrn	NGRN
tmprss9	TMPRSS9
ubxn11	UBXN11
toporsa	TOPORS
stxbp4	STXBP4
trim3b	TRIM3
eif2ak3	EIF2AK3
ttll11	TTLL11
fam149b1	FAM149B1
fmr1	FMR1
smpd4	SMPD4
ubox5	UBOX5
glipr1b	GLIPR1L1
glipr1b	CRISP1
glipr1b	GLIPR1L2
six6a	SIX6
clstn2a	CLSTN2
gspt1l	GSPT1
si:ch1073-66l23.1	MILR1
nrxn1b	NRXN1
tomm5	TOMM5
atp5po	ATP5PO
grhpra	GRHPR
ndufs8a	NDUFS8
acadl	ACADL
mep1bb	MEP1B
camk2b2	CAMK2B
ghrhrl	GHRHR
ercc4	ERCC4
cdk5r1b	CDK5R1
grb2a	GRB2
tsga10	TSGA10
khdrbs2	KHDRBS2
mtf2	MTF2
zcchc2	ZCCHC2
dynll1	DYNLL1
phlpp1	PHLPP1
tfb2m	TFB2M
gjb1b	GJB1
usp49	USP49
serbp1a	SERBP1
fabp1b.1	FABP1
tapt1b	TAPT1
asl	ASL
uba52	UBA52
cep97	CEP97
cfap221	CFAP221
b3gat3	B3GAT3
poldip2	POLDIP2
snrnp40	SNRNP40
crcp	CRCP
kctd10	KCTD10
dda1	DDA1
nmur1a	NMUR1
afap1l1a	AFAP1L1
p2rx3a	P2RX3
syt13	SYT13
krt93	KRT19
copb2	COPB2
tmem175	TMEM175
rnd3b	RND3
cenpt	CENPT
rnf4	RNF4
lgr4	LGR4
maml3	MAML3
hspa1b	HSPA2
rgs13b	RGS13
dlgap2a	DLGAP2
si:dkey-23a13.17	H1-6
slc16a9a	SLC16A9
sdc4	SDC4
fnbp1b	FNBP1
parp12a	PARP12
slc38a7	SLC38A7
si:ch211-71m22.5	PLSCR5
si:ch211-71m22.5	PLSCR3
si:ch211-71m22.5	PLSCR4
si:ch211-71m22.5	PLSCR2
pthlhb	PTHLH
zgc:172106	CD22
kcnk2a	KCNK2
socs1a	SOCS1
eea1	EEA1
dnajc1	DNAJC1
fbxo16	FBXO16
tlcd3bb	TLCD3B
si:ch211-165e15.1	DST
mrpl46	MRPL46
avpr2ab	AVPR2
commd7	COMMD7
crim1	CRIM1
plp1a	PLP1
hpse	HPSE
rlf	RLF
lrrc42	LRRC42
nmd3	NMD3
cdk13	CDK13
senp3a	SENP3
adck5	ADCK5
svopa	SVOP
rxrab	RXRA
npnta	NPNT
ndufa1	NDUFA1
grin2ca	GRIN2C
arhgap10	ARHGAP10
gcnt4b.1	GCNT4
morf4l1	MORF4L1
ptpn4a	PTPN4
irf2bp1	IRF2BP1
taco1	TACO1
bace2	BACE2
gcnt4b.2	GCNT4
si:ch211-106h11.1	LRRC8E
ttyh2	TTYH2
pacsin2	PACSIN2
adam15	ADAM15
htr2aa	HTR2A
si:dkey-14d8.20	LGALS3BP
si:dkey-14d8.20	CD5
si:dkey-14d8.20	SSC5D
si:dkey-14d8.20	CD5L
si:dkey-14d8.20	CD163L1
angptl5	ANGPTL5
ubr7	UBR7
golt1ba	GOLT1B
parvaa	PARVA
adamts15a	ADAMTS15
iba57	IBA57
si:dkey-100n23.3	SENP7
npc2.1	NPC2
rlig1	RLIG1
jazf1b	JAZF1
mrpl24	MRPL24
ezh2	EZH2
ptk2ab	PTK2
adamts8a	ADAMTS8
fhip1aa	FHIP1A
itpk1a	ITPK1
tspan33a	TSPAN33
irf8	IRF8
ints12	INTS12
nckap1	NCKAP1
csnk2b	CSNK2B
csrp1a	CSRP1
prlrb	PRLR
kics2	KICS2
pygb	PYGB
wdr90	WDR90
atf2	ATF2
pias4a	PIAS4
sult1st5	SULT1C4
lypla1	LYPLA1
zgc:163030	CST3
cdk5rap3	CDK5RAP3
st8sia2	ST8SIA2
ptar1	PTAR1
mhc1uba	AZGP1
mhc1uba	FCGRT
edf1	EDF1
gpr45	GPR45
mtmr11	MTMR11
eeig1a	EEIG1
coq7	COQ7
klhl38b	KLHL38
si:dkey-9i23.15	TMEM109
fbxl17	FBXL17
smarcad1a	SMARCAD1
si:ch73-281i18.4	MAP7D1
fbxl22	FBXL22
nek10	NEK10
myorg	MYORG
ints11	INTS11
slc25a25a	SLC25A25
hnf4a	HNF4A
tmem82	TMEM82
ubac2	UBAC2
slc35f6	SLC35F6
mfsd4aa	MFSD4A
plaat1	PLAAT1
gja5b	GJA5
ppp1r3da	PPP1R3D
gnat2	GNAT2
tcf23	TCF23
celf4	CELF4
cpb1	CPB1
zgc:113263	TINF2
notch1a	NOTCH1
htr5ab	HTR5A
ascc2	ASCC2
slc7a6	SLC7A6
afdna	AFDN
susd6	SUSD6
spata7	SPATA7
ccser1	CCSER1
map2k4b	MAP2K4
dcxr	DCXR
lamb1b	LAMB1
SLC46A3	SLC46A3
hadh	HADH
spc25	SPC25
idh3a	IDH3A
gbf1	GBF1
hmx1	HMX1
aqp12	AQP12A
aqp12	AQP12B
kpnb1	KPNB1
fabp4a	FABP5
fabp4a	PMP2
fabp4a	FABP12
fabp4a	FABP9
dnm1b	DNM1
SPATA1	SPATA1
ric8a	RIC8A
cpda	CPD
slc5a2	SLC5A2
msi1b	MSI1
nabp1a	NABP1
gnb1b	GNB1
brd2b	BRD2
adarb2	ADARB2
npbwr2a	NPBWR2
agps	AGPS
ddx18	DDX18
rragd	RRAGD
rragd	RRAGC
sptbn2	SPTBN2
pora	POR
actr2a	ACTR2
prox1a	PROX1
cfap97	CFAP97
surf4l	SURF4
sprb	SPR
serinc5	SERINC5
insl5a	INSL5
rps7	RPS7
si:ch211-121a2.2	DUSP29
sptssa	SPTSSA
si:dkey-250k15.8	CEACAM20
hirip3	HIRIP3
nacad	NACAD
tmem42a	TMEM42
sec23b	SEC23B
ifi44a6	IFI44L
ifi44a6	IFI44
ankdd1a	ANKDD1A
fabp1b.2	FABP1
arhgef19	ARHGEF19
map3k3	MAP3K3
si:ch211-117n7.7	ABHD12B
tmem102	TMEM102
ccser2a	CCSER2
notch1b	NOTCH1
ndufb4	NDUFB4
nom1	NOM1
mfap4.7	MFAP4
anln	ANLN
amph	AMPH
atp6v1f	ATP6V1F
ptdss2	PTDSS2
kcnn1b	KCNN1
rnf157	RNF157
si:dkey-9i23.6	TNKS1BP1
khdrbs1b	KHDRBS1
megf8	MEGF8
cox7a2a	COX7A2
ogfod3	OGFOD3
si:ch211-193e13.5	KLRC4
si:ch211-193e13.5	OLR1
si:ch211-193e13.5	CLEC2B
si:ch211-193e13.5	KLRC3
si:ch211-193e13.5	KLRC2
si:ch211-193e13.5	CLEC2A
si:ch211-193e13.5	CLEC1A
si:ch211-193e13.5	CLEC9A
si:ch211-193e13.5	KLRB1
si:ch211-193e13.5	KLRF1
si:ch211-193e13.5	CLEC5A
si:ch211-193e13.5	KLRF2
si:ch211-193e13.5	CLEC2L
si:ch211-193e13.5	CLEC12A
si:ch211-193e13.5	KLRC1
si:ch211-193e13.5	CD69
si:ch211-193e13.5	CLEC7A
si:ch211-193e13.5	KLRD1
si:ch211-193e13.5	CLEC1B
si:ch211-193e13.5	CLEC12B
si:ch211-193e13.5	CLEC2D
si:ch211-193e13.5	KLRG2
pusl1	PUSL1
ube2nb	UBE2N
ube2nb	UBE2NL
nectin4a	NECTIN4
ogg1	OGG1
cd36	CD36
chpt1	CHPT1
clptm1l	CLPTM1L
tmem151a	TMEM151A
rnf185	RNF185
lama3	LAMA3
napsa	NAPSA
scube1	SCUBE1
hsph1	HSPH1
tm9sf3	TM9SF3
tmod2	TMOD3
rnf207b	RNF207
srgap3	SRGAP3
cryzl1	CRYZL1
leo1	LEO1
casq1b	CASQ1
grm8a	GRM8
alpk2	ALPK2
cyb5d2	CYB5D2
slc15a1b	SLC15A1
ptrh2	PTRH2
gdf5	GDF5
si:dkey-23a13.4	H3C14
zgpat	ZGPAT
pcmtd2a	PCMTD2
plagx	ZNF174
plagx	ZSCAN29
plagx	ZNF576
plagx	SCAND1
plagx	OVOL3
plagx	ZSCAN18
plagx	ZNF444
plagx	ZNF496
plagx	ZNF18
plagx	ZNF274
plagx	PEG3
plagx	ZNF446
plagx	ZNF641
plagx	PLAGL2
plagx	ZNF202
plagx	ZSCAN5C
plagx	ZSCAN5A
plagx	ZNF770
plagx	PLAGL1
plagx	ZKSCAN2
plagx	ZSCAN5B
plagx	ZSCAN1
si:dkey-27j5.6	CD22
slc66a1	SLC66A1
efna2a	EFNA2
ulk2	ULK2
eaf2	EAF2
rnf2	RNF2
ksr1a	KSR1
prkab1a	PRKAB1
trim37	TRIM37
fibinb	FIBIN
cbln17	CBLN3
olfml2bb	OLFML2B
xpr1a	XPR1
cicb	CIC
armc3	ARMC3
klhl18	KLHL18
si:ch211-1f22.16	CD22
tspan7	TSPAN7
npr3	NPR3
zpr1	ZPR1
acvr2aa	ACVR2A
abtb1	ABTB1
dcaf5	DCAF5
tpte	TPTE2
tpte	TPTE
ttc6	TTC6
nampt3.2	NAMPT
cyth3a	CYTH3
sstr1a	SSTR1
heatr4	HEATR4
pcdh2ab9	PCDHAC2
gstm.2	GSTM3
plcb1	PLCB1
nudt22	NUDT22
fbxw7	FBXW7
rtn2b	RTN2
atm	ATM
prg4b	PRG4
fam167b	FAM167B
stk36	STK36
csnk2a2b	CSNK2A2
dpysl5a	DPYSL5
arl13b	ARL13B
bola1	BOLA1
atpaf1	ATPAF1
grin3bb	GRIN3B
birc2	BIRC3
birc2	BIRC2
dab1a	DAB1
lin9	LIN9
vwa5b1	VWA5B1
fbxo22	FBXO22
ftsj3	FTSJ3
sec24b	SEC24B
hibadhb	HIBADH
gabpa	GABPA
faima	FAIM
msna	ERMN
si:ch211-113a14.23	H3C7
si:ch211-113a14.23	H3C6
si:ch211-113a14.23	H3-7
si:ch211-113a14.23	H3C4
si:ch211-113a14.23	H3C2
si:ch211-113a14.23	H3-4
si:ch211-113a14.23	H3C8
si:ch211-113a14.23	H3C11
si:ch211-113a14.23	H3C10
si:ch211-113a14.23	H3C12
si:ch211-113a14.23	H3C3
si:ch211-113a14.23	H3C1
pdrg1	PDRG1
fbp2	FBP2
ptgr1.1	PTGR1
ak4	AK4P3
ak4	AK4
uraha	URAD
sec23a	SEC23A
nppcl2	NPPC
si:ch1073-412h12.3	CEBPZ
cct2	CCT2
creb3l2	CREB3L2
b3galt9	B3GALT9
sh3pxd2aa	SH3PXD2A
calhm2.2	CALHM2
pmm2	PMM2
pld3	PLD3
fam219aa	FAM219A
znf292b	ZNF292
gxylt1b	GXYLT1
hdx	HDX
lck	BLK
casp2	CASP2
pgbd5	PGBD5
ldb2a	LDB2
zgc:103438	CTSV
zgc:103438	CTSL
saga	SAG
rps6kc1	RPS6KC1
impg2a	IMPG2
pask	PASK
rpl38	RPL38
eci1	ECI1
dnajc22	DNAJC22
cst3	CST3
mbtps1	MBTPS1
tmprss13b	TMPRSS13
rbms2a	RBMS2
lonp1	LONP1
zgc:158398	TMEM219
nucks1a	NUCKS1
fbxo48	FBXO48
ptchd3l	PTCHD3
dusp22b	DUSP22
gpib	GPI
churc1	CHURC1
rfc1	RFC1
adgrg1	ADGRG3
bmal1a	BMAL1
gng12b	GNG12
ttc21b	TTC21B
adamtsl5	ADAMTSL5
mindy1	MINDY1
eno3	ENO3
a2ml2	A2ML1
a2ml2	PZP
ppargc1b	PPARGC1B
fam221a	FAM221A
ttbk2b	CSNK1A1L
rmdn1	RMDN1
slc11a2	SLC11A2
gpsm1a	GPSM1
asb6	ASB6
p4ha3	P4HA3
esr2a	ESR2
tfpi2	TFPI2
sema6d	SEMA6D
mst1rb	MST1R
sh2b1	SH2B1
mpv17l2	MPV17L2
gpr61	GPR61
akt1s1	AKT1S1
atat1	ATAT1
znf576.1	ZNF160
znf576.1	ZNF665
znf576.1	ZNF497
znf576.1	ZNF48
znf576.1	ZNF785
znf576.1	ZNF347
znf576.1	ZNF84
znf576.1	ZNF764
znf576.1	ZNF747
znf576.1	ZNF688
znf576.1	ZFP92
znf576.1	ZNF208
znf576.1	ZNF91
znf576.1	ZNF184
znf576.1	ZNF107
znf576.1	ZNF729
znf576.1	ZNF99
znf576.1	ZNF689
znf576.1	ZNF181
znf576.1	ZNF302
nid2a	NID2
srek1	SREK1
clmna	CLMN
clint1a	CLINT1
ppcs	PPCS
sesn2	SESN2
cxcl11.8	CXCL9
psmb4	PSMB4
plekhf1	PLEKHF1
plekhf1	ZFYVE16
ap5m1	AP5M1
tpgs2	TPGS2
lamc2	LAMC1
srsf10b	SRSF10
cib2	CIB2
nmt2	NMT2
xpo4	XPO4
snrpc	SNRPC
dock5	DOCK5
prss1	PRSS1
prss1	PRSS3
prss1	PRSS2
mtx1a	MTX1
mepcea	MEPCE
tbx5a	TBX5
btg1	BTG1
cmip	CMIP
acer3	ACER3
puraa	PURA
thoc2	THOC2
ccnt2a	CCNT2
ndufs4	NDUFS4
tgfbi	TGFBI
samsn1b	SAMSN1
chst7	CHST7
esrrga	ESRRG
rac1a	RAC1
tmem150aa	TMEM150A
slc5a10	SLC5A10
cdipt	CDIPT
pigc	PIGC
ddx6	DDX6
slc9a5	SLC9A5
adcyap1r1b	ADCYAP1R1
rhof	RHOF
kbtbd12	KBTBD12
six1a	SIX1
mkrn1	MKRN3
mkrn1	MKRN1
chrnb1	CHRNB1
hs3st3b1b	HS3ST6
atp1a1a.3	ATP1A1
exosc2	EXOSC2
angptl4	ANGPTL4
fam13b	FAM13B
phf1	PHF1
clockb	CLOCK
DAB2	DAB2
gpd1l	GPD1L
magt1	MAGT1
peli2	PELI2
otud5b	OTUD5
ppp6r2a	PPP6R2
shisal1a	SHISAL1
dla	DLL1
thyn1	THYN1
cdk6	CDK6
myct1b	MYCT1
ccdc136a	CCDC136
SAMD4B	SAMD4B
cenpn	CENPN
dtex3lb.1	DTX3L
sass6	SASS6
tmem256	TMEM256
tmem127	TMEM127
ush2a	USH2A
dcbld1	DCBLD1
mycla	MYCL
tdrd1	TDRD1
tnpo3	TNPO3
si:dkey-79d12.4	ZBTB42
fbxo44.7	FBXO44
phkg1b	PHKG1
chl1a	CHL1
si:ch211-125e6.5	REG3G
si:ch211-125e6.5	REG3A
si:ch211-125e6.5	REG1A
si:ch211-125e6.5	REG1B
spryd7b	SPRYD7
gabrd	GABRD
atp2c1	ATP2C1
usp12a	USP12
sox11a	SOX11
copz1	COPZ1
pamr1a	PAMR1
psmc6	PSMC6
ctdnep1a	CTDNEP1
rps6ka5	RPS6KA5
gpr12	GPR12
fbxo44.5	FBXO44
rpgrip1l	RPGRIP1L
mylipa	MYLIP
kremen1	KREMEN1
smg8	SMG8
marveld3	MARVELD3
sorbs1	SORBS1
rundc1	RUNDC1
znfl2a	ZBTB2
prss35	PRSS35
acaa1	ACAA1
eef1a1a	EEF1A1
atp1b2b	ATP1B2
dnaja2a	DNAJA2
gch1	GCH1
cela1.6	CELA1
apoob	APOO
c2cd3	C2CD3
cbsa	CBS
gnl2	GNL2
znhit3	ZNHIT3
wdr35	WDR35
entpd3	ENTPD3
cbln2b	CBLN2
hsbp1a	HSBP1
abhd6b	ABHD6
slc39a5	SLC39A5
hsd11b2	HSD11B2
slc5a9	SLC5A9
styk1b	STYK1
kcnq3	KCNQ3
commd9	COMMD9
slc35c2	SLC35C2
txndc11	TXNDC11
si:ch211-103n10.5	H1-6
scyl3	SCYL3
mapkapk2a	MAPKAPK2
sclt1	SCLT1
cd226	CD226
dpm2	DPM2
camta2	CAMTA2
icn2	S100A16
rps6ka3b	RPS6KA3
snx19a	SNX19
pip4k2ab	PIP4K2A
camk1db	CAMK1D
six2a	SIX2
knop1	KNOP1
snrpf	SNRPF
cdkn1bb	CDKN1B
knl1	KNL1
rraga	RRAGB
rraga	RRAGA
ankef1b	ANKEF1
cpne3	CPNE3
prelid3a	PRELID3A
khk	KHK
rnft2	RNFT2
pex12	PEX12
zgc:101040	NAT1
zgc:101040	NAT2
borcs5	BORCS5
mical3a	MICAL3
rragca	RRAGD
rragca	RRAGC
zgc:110216	H1-6
arhgap42a	ARHGAP42
arl8bb	ARL8B
cdc7	CDC7
parp1	PARP1
eif1axb	EIF1AY
eif1axb	EIF1AX
htra2-10	HTRA2
fbxo32	FBXO32
poc1a	POC1A
ugt5c1	UGT3A1
ugt5c1	UGT2A3
ugt5c1	UGT2B11
ugt5c1	UGT2B28
ugt5c1	UGT2B10
ugt5c1	UGT1A6
ugt5c1	UGT1A5
ugt5c1	UGT1A4
ugt5c1	UGT1A3
ugt5c1	UGT1A8
ugt5c1	UGT1A10
ugt5c1	UGT1A7
ugt5c1	UGT1A9
ugt5c1	UGT2B7
ugt5c1	UGT2B4
ugt5c1	UGT2A2
ugt5c1	UGT2A1
ugt5c1	UGT2B15
ugt5c1	UGT2B17
inpp4ab	INPP4A
clmnb	CLMN
mical2b	MICAL2
grem2a	GREM2
zc3h12b	ZC3H12B
sumo1	SUMO1
rab3aa	RAB3A
C18H15orf48	C15orf48
nktr	NKTR
itga2b	ITGA2B
enpp7.2	ENPP7
fstl1a	FSTL1
proca	PROC
mrtfab	MRTFA
cnrip1a	CNRIP1
itpa	ITPA
nr4a1	NR4A1
bsdc1	BSDC1
ppp1r1c	PPP1R1C
svep1	SVEP1
bloc1s2	BLOC1S2
peli1b	PELI1
nanp	NANP
dclre1a	DCLRE1A
dusp28	DUSP28
psmb1	PSMB1
tfdp2	TFDP2
jak2b	JAK2
tgfbr1a	TGFBR1
zfr2	ZFR2
tlx1	TLX1
faap100	FAAP100
pax2b	PAX2
ildr1a	ILDR1
gipc2	GIPC2
ghdc	GHDC
tbc1d20	TBC1D20
jph1a	JPH1
pnrc2	PNRC2
cntn1b	CNTN1
yrdc	YRDC
smap1	SMAP1
otub1a	OTUB1
hdlbpa	HDLBP
ppp1r27b	PPP1R27
got2a	GOT2
si:ch73-149c21.1	GAB3
smim18	SMIM18
lrp2a	LRP2
prkx	PRKX
nkx1.2la	NKX1-2
ugt5g2	UGT3A1
ugt5g2	UGT2A3
ugt5g2	UGT2B11
ugt5g2	UGT2B28
ugt5g2	UGT2B10
ugt5g2	UGT1A6
ugt5g2	UGT1A5
ugt5g2	UGT1A4
ugt5g2	UGT1A3
ugt5g2	UGT1A8
ugt5g2	UGT1A10
ugt5g2	UGT1A7
ugt5g2	UGT1A9
ugt5g2	UGT2B7
ugt5g2	UGT2B4
ugt5g2	UGT2A2
ugt5g2	UGT2A1
ugt5g2	UGT2B15
ugt5g2	UGT2B17
ptbp2a	PTBP2
eif5	EIF5
cdyl	CDY1B
cdyl	CDY1
cdyl	CDY2B
cdyl	CDY2A
cdyl	CDYL
triobpb	TRIOBP
gng2	GNG2
actr6	ACTR6
prrc1	PRRC1
galr1a	GALR1
tspan13b	TSPAN13
hspa13	HSPA13
zgc:77056	KIAA1143
chrnd	CHRND
pofut1	POFUT1
casq2	CASQ2
wdr37	WDR37
glipr2l	GLIPR2
casc3	CASC3
dhrs3b	DHRS3
enpp2	ENPP2
cav3	CAV3
gsc	GSC
vps13c	VPS13C
pgr	PGR
poc1bl	GALNT4
tbc1d10ab	TBC1D10A
pgap1	PGAP1
pgap1	C2orf66
aicda	AICDA
syk	SYK
rmc1	RMC1
nus1	NUS1
akirin2	AKIRIN2
ccdc32	CCDC32
si:dkey-9i23.4	REG3G
si:dkey-9i23.4	REG3A
si:dkey-9i23.4	REG1A
si:dkey-9i23.4	REG1B
lrrc8da	LRRC8E
aplnr2	APLNR
tyw5	TYW5
ptger4a	PTGER4
C20H12orf57	C12orf57
slc17a5	SLC17A3
slc17a5	SLC17A2
slc17a5	SLC17A5
slc17a5	SLC17A4
slc17a5	SLC17A1
ppp1r13ba	PPP1R13B
atf7a	ATF7
srgap1a	SRGAP1
gtf2b	GTF2B
ahcyl2a	AHCYL2
ppl	PPL
itsn1	ITSN1
efhd2	EFHD2
si:ch73-368j24.11	H1-6
cttnbp2nlb	CTTNBP2NL
hist2h3ca1	H3C15
b4galt4	B4GALT4
ing4	ING4
fabp3	FABP3
ankfy1	ANKFY1
st8sia3	ST8SIA3
intu	INTU
alas2	ALAS2
mindy4	MINDY4
tom1l2	TOM1L2
gba1	GBA1
C16H1orf43	C1orf43
mtch2	MTCH2
psma8	PSMA8
barhl1a	BARHL1
gamt	GAMT
nsun5	NSUN5
wapla	WAPL
hipk3b	HIPK3
fam20cb	FAM20C
plvapa	PLVAP
LSM2	LSM2
myoz2b	MYOZ2
hoxa5a	HOXA5
clcn2c	CLCN2
uqcrb	UQCRB
ostm1	OSTM1
ythdc1	YTHDC1
ino80b	INO80B
kat14	KAT14
iqcb1	IQCB1
necap2	NECAP2
slc22a7b.2	SLC22A7
ptbp1a	PTBP1
pcgf5b	PCGF5
klhl7	KLHL7
mapk8b	MAPK8
rpl18	RPL18
cacna2d2b	CACNA2D2
pla2g12b	PLA2G12B
emilin1b	EMILIN1
abca4a	ABCA4
esyt3	ESYT3
mapk11	MAPK11
fbxl18	FBXL18
rrp36	RRP36
si:dkeyp-82a1.6	TOR1AIP1
si:dkeyp-82a1.6	TOR1AIP2
amacr	AMACR
htra2-9	HTRA2
pdgfrl	PDGFRL
ccr9b	CCR9
mb21d2	MB21D2
atp1b1a	ATP1B1
fbxo25	FBXO25
tex15	TEX15
kdm4aa	KDM4C
ankrd27	ANKRD27
dnaaf1	DNAAF1
mpeg1.2	MPEG1
prelid1a	PRELID1
cops2	COPS2
mapre3b	MAPRE3
prtga	PRTG
usf1	USF1
afg1la	AFG1L
fut9b.1	FUT5
fut9b.1	FUT6
fut9b.1	FUT3
cplx4b	CPLX4
zgc:158260	FAM47E
pigt	PIGT
si:dkeyp-121d4.3	CSDE1
mbnl2	MBNL2
ppifa	PPIA
ppifa	PPIAL4G
ppifa	PPIAL4H
ppifa	PPIAL4C
ppifa	PPIAL4F
ppifa	PPIAL4E
ppifa	PPIAL4D
ppifa	PPIAL4A
cpm	CPM
znf395a	ZNF395
agtr1a	AGTR1
sfi1	SFI1
impg2b	IMPG2
slc37a4b	SLC17A3
slc37a4b	SLC17A2
slc37a4b	SLC17A5
slc37a4b	SLC17A4
slc37a4b	SLC17A1
cpne9	CPNE9
slc35g1	SLC35G1
rbm24a	RBM24
calhm1a	CALHM1
oc90	OC90
cep152	CEP152
ip6k2a	IP6K2
mfsd9	MFSD9
emx1	EMX1
col1a2	COL1A2
ctrb.3	CTRB2
ctrb.3	CTRB1
syt14a	SYT14
ppp3ccb	PPP3CC
snx5	SNX5
purab	PURA
abi3bpa	ABI3BP
ubxn10	UBXN10
pde6a	PDE6B
prdm10	PRDM10
si:dkey-267n13.1	CTSV
si:dkey-267n13.1	CTSL
ctsa	CTSA
hoxb2a	HOXB2
rft1	RFT1
gpr65	GPR65
zyg11l	ZYG11A
zyg11l	ZYG11B
puf60b	PUF60
htatip2	HTATIP2
bokb	BOK
gpd1b	GPD1
elk4	ELK4
mettl21cb	METTL21C
opn3	OPN3
serinc4	SERINC4
hoxb7a	HOXB7
prpf8	PRPF8
mettl21e	METTL21EP
ergic1	ERGIC1
btbd17b	BTBD17
si:ch73-212j7.3	PLEKHG3
perp	PERP
card14	CARD14
stambpa	STAMBP
lims2	LIMS1
lims2	LIMS4
lims2	LIMS3
fgfr1bl	FGFR1
zdhhc12a	ZDHHC12
usp39	USP39
si:dkey-108k21.14	H1-6
poglut1	POGLUT1
rictorb	RICTOR
vopp1a	VOPP1
nup153	NUP153
tepsin	TEPSIN
spen	SPEN
trak1a	TRAK1
ak5l	AK5
lsm14ab	LSM14A
si:ch1073-314i13.4	FMC1
pfkmb	PFKM
adcy8	ADCY8
cep55l	CEP55
mrpl10	MRPL10
ccdc117	CCDC117
avpr1aa	AVPR1A
b3gat2	B3GAT2
dhrs9	DHRS9
sowahd	SOWAHD
phykpl	PHYKPL
lrrc61	LRRC61
klf6a	KLF6
hoxd9a	HOXD9
zgc:112038	TPSD1
zgc:112038	TPSG1
zgc:112038	TPSAB1
zgc:112038	TPSB2
sf3b4	SF3B4
ntf3	NTF3
igsf21b	IGSF21
osbpl7	OSBPL7
cabp5b	CABP5
usp7	USP7
abcb11b	ABCB11
cpo	CPO
nr4a2a	NR4A2
scube2	SCUBE2
otx2b	OTX2
rnf220a	RNF220
prdm11	PRDM11
asb13b	ASB13
flnca	FLNC
ehf	EHF
si:dkeyp-72a4.1	RASAL1
babam1	BABAM1
creb3l3a	CREB3L3
lsm5	LSM5
nedd9	NEDD9
med15	MED15
ablim2	ABLIM2
ctbs	CTBS
tnfaip8l3	TNFAIP8L3
myh11b	MYH11
rnf111	RNF111
celf5a	CELF5
castor2	CASTOR2
abhd11	ABHD11
slc7a3b	SLC7A3
hmgn6	HMGN3
hmgn6	HMGN1
grm3	GRM3
gna15.4	GNA11
gna15.4	GNAT3
gna15.4	GNA15
rhol	RHO
SPSB2	SPSB2
kctd13	KCTD13
si:dkey-14k9.3	ZNF672
lnx2a	LNX2
fbxo44.8	FBXO44
rasal2	RASAL2
p3h2	P3H2
csrp3	CSRP3
tmed4	TMED4
parp12b	PARP15
dicer1	DICER1
gps2	GPS2
asb15b	ASB15
grin2aa	GRIN2A
fnip1	FNIP1
tysnd1	TYSND1
zc3h3	ZC3H3
jade3	JADE3
runx3	RUNX3
nol12	NOL12
msi2a	MSI2
rab33a	RAB33A
exosc5	EXOSC5
slc1a2a	SLC1A2
shisa9a	SHISA8
lbx2	LBX2
tpra	TPR
rgs7bpb	RGS7BP
arid4b	ARID4B
tbx2b	TBX2
lemd1	LEMD1
lemd1	TMPO
rag2	RAG2
negaly6	PINLYP
negaly6	LYPD8
arhgap45b	ARHGAP45
kcnd3	KCND3
armc9	ARMC9
si:dkey-261j15.2	UTF1
si:dkey-261j15.2	MSANTD7
atp2a1l	ATP1A4
chrna4b	CHRNA4
mmd2b	MMD2
rpl26	RPL26
rpl26	RPL26L1
kcnn1a	KCNN1
mbip	MBIP
skp1	SKP1
kiaa1549la	KIAA1549L
galnt13	GALNT13
dnajb12a	DNAJB12
ifit8	IFIT3
ifit8	IFIT5
ifit8	IFIT1
ifit8	IFIT2
ifit8	IFIT1B
dexi	DEXI
tle2b	TLE2
tle2b	TLE7
si:dkey-27j5.8	CD22
gemin4	GEMIN4
inab	INA
tacr1b	TACR1
st13	ST13
stag3	STAG3
commd2	COMMD2
alkbh2	ALKBH2
C11H6orf120	C6orf120
casd1	CASD1
fabp6	FABP6
stra6	STRA6
grinaa	GRINA
mapk12b	MAPK12
glula	GLUL
vps35l	VPS35L
tspan9a	TSPAN9
map7d1b	MAP7D1
fam228a	FAM228A
fam228a	FAM228B
pwwp2a	PWWP2A
klhdc10	KLHDC10
dera	DERA
abcb10	ABCB10
si:dkey-220f10.4	TULP2
prkacab	PRKACA
prkacab	PRKACG
prkacab	PRKACB
ttc32	TTC32
zdhhc1	ZDHHC1
thumpd2	THUMPD2
ttc38	TTC38
cngb3.2	CNGB3
nt5c1aa	NT5C1A
sytl4	SYTL4
srpx2	SRPX2
zcchc24	ZCCHC24
rfx1a	RFX1
trmt11	TRMT11
eif1ad	EIF1AD
coq6	COQ6
gnl3	GNL3
odf2a	ODF2
ctbp2a	CTBP2
eya2	EYA2
fut9b.4	FUT5
fut9b.4	FUT6
fut9b.4	FUT3
hpcal4	HPCAL4
st14a	TMPRSS11A
st14a	TMPRSS11D
st14a	TMPRSS11F
st14a	PRSS22
st14a	TMPRSS11E
st14a	TMPRSS11B
scn1ba	SCN1B
si:ch211-140m22.7	ATP5PF
usp30	USP30
tpma	TPM1
dhh	IHH
si:ch73-103b11.2	MPRIP
prcc	PRCC
pcmt	PCMT1
ARF5	ARF5
stx1b	STX1B
hint3	HINT3
eif4g2b	EIF4G2
zmat4b	ZMAT4
tcp11l2	TCP11L2
