mt-nd1	mt-Nd1
sall3a	Sall3
ubac2	Ubac2
palb2	Palb2
rbm8a	Rbm8a
rbm8a	Rbm8a2
msh5	Msh5
ace	Ace3
mtres1	Mtres1
st8sia6	St8sia6
gcnt3	Gcnt3
PELI1	Peli1
gskip	Gskip
EVX1	Evx1
thyn1	Thyn1
c1ql4b	C1ql4
nckap5l	Nckap5l
pmelb	Pmel
khnyn	Nynrin
omgb	Omg
ttpal	Ttpal
rbks	Rbks
khk	Khk
prkag1	Prkag1
vwc2	Vwc2
cyp3a65	Cyp3a44
cyp3a65	Cyp3a25
cyp3a65	Cyp3a41b
cyp3a65	Cyp3a13
cyp3a65	Cyp3a11
cyp3a65	Cyp3a16
cyp3a65	Cyp3a57
cyp3a65	Cyp3a41a
cyp3a65	Cyp3a59
gpank1	Gpank1
fkbp8	Fkbp8
tmem39a	Tmem39a
cactin	Cactin
vldlr	Vldlr
snrnp35	Snrnp35
ezra	Ezr
dact2	Dact2
amot	Amot
FIG4	Fig4
slc35a3a	Slc35a3
purab	Pura
myo5aa	Myo5a
bcas2	Bcas2
pigs	Pigs
mnat1	Mnat1
meiob	Meiob
oxtra	Oxtr
htra2-2	Htra2
fpgt	Fpgt
slc3a1	Slc3a1
ficd	Ficd
plekhb1	Plekhb1
asic4a	Asic4
bahd1	Bahd1
xylb	Xylb
srsf2a	Srsf2
ids	Ids
irf6	Irf6
ajap1	Ajap1
chd1l	Chd1l
cops2	Cops2
SECISBP2L	Secisbp2l
pnpla7b	Pnpla7
proser1	Proser1
nadka	Nadk
blmh	Blmh
pdxdc1	Pdxdc1
lratd2a	Lratd2
psmg1	Psmg1
SLC22A23	Slc22a23
tll1	Tll1
dusp22	Dusp22
mat2ab	Mat2a
tmem35	Tmem35a
tufm	Tufm
malb	Mal
nansa	Nans
trafd1	Trafd1
mir181b-2	Mir181b-2
slitrk2	Slitrk2
CYP19A1	Cyp19a1
apobb.2	Apob
fndc10	Fndc10
rbp3	Rbp3
pigh	Pigh
calml4a	Calml4
TOMM7	Tomm7
cebpb	Cebpb
eps8l1a	Eps8l1
crtap	Crtap
si:dkey-119m7.4	Slc22a22
si:dkey-119m7.4	Slc22a6
si:dkey-119m7.4	Slc22a19
si:dkey-119m7.4	Slc22a27
si:dkey-119m7.4	Slc22a29
si:dkey-119m7.4	Slc22a30
si:dkey-119m7.4	Slc22a28
si:dkey-119m7.4	Slc22a26
si:dkey-119m7.4	Slc22a12
si:dkey-119m7.4	Slc22a20
si:dkey-119m7.4	Slc22a3
si:dkey-119m7.4	Slc22a14
si:dkey-119m7.4	Slc22a1
si:dkey-119m7.4	Slc22a5
si:dkey-119m7.4	Slc22a21
si:dkey-119m7.4	Slc22a4
ndufa1	Ndufa1
uchl5	Uchl5
atxn7l2a	Atxn7l2
fam169b	Fam169b
sh3bgr	Sh3bgr
slc30a1a	Slc30a1
srp68	Srp68
mcrip2	Mcrip2
rbpjb	Rbpj
dock1	Dock1
evpla	Evpl
RNF220	Rnf220
sesn2	Sesn2
ACTR3	Actr3
cav2	Cav2
parp6b	Parp6
mab21l1	Mab21l1
carmil3	Carmil3
spartb	Spart
abhd12	Abhd12b
abhd12	Abhd16b
abhd12	Abhd12
insig1	Insig1
rabgap1l2	Rabgap1l
slc35b2	Slc35b2
tanc2a	Tanc2
supt6h	Supt6
dgat2	Dgat2
rchy1	Rchy1
cyb5r2	Cyb5r2
lrpap1	Lrpap1
figla	Figla
camta1a	Camta1
plaat1l	Plaat1
VMP1	Vmp1
gpr75	Gpr75
rnaset2	Rnaset2a
rnaset2	Rnaset2b
ap3m2	Ap3m2
lipt1	Lipt1
ankfn1a	Ankfn1
fam13b	Fam13b
dtx4a	Dtx4
spata7	Spata7
agpat4	Agpat4
zgc:110410	Tmbim7
mir15a-2	Mir15a
TASL	Tasl
patz1	Patz1
hbegfa	Hbegf
SPTBN1	Sptbn1
hyls1	Hyls1
vipr1b	Vipr1
wdr20a	Wdr20
wdr20a	Wdr20rt
ATP6V0C	Atp6v0c
sptb	Sptb
fabp1b.1	Fabp1
msx3	Msx3
xpo1b	Xpo1
strn	Strn
pdgfab	Pdgfa
ctnna2	Ctnna2
msrb3	Msrb3
rint1	Rint1
rnf122	Rnf122
zfpm1	Zfpm1
midn	Midn
tprb	Tpr
caprin2	Caprin2
plac8.1	Plac8
clic4	Clic4
ubtd1a	Zdhhc16
zfp91	Zfp91
ephb3a	Ephb3
chchd6b	Chchd6
kcnmb3	Kcnmb3
nsmfa	Nsmf
pi15a	Pi15
zmiz2	Zmiz2
zgc:123305	Lpin3
dpysl3	Dpysl3
wdfy1	Wdfy1
jakmip2	Jakmip2
znf423	Zfp423
ap1s3a	Ap1s3
ralgapa2	Ralgapa2
cbln1	Cbln1
GXYLT1	Gxylt1
nme5	Nme5
hps1	Hps1
cercam	Cercam
pi4kb	Pi4kb
zgc:136971	Dpp4
dnajc2	Dnajc2
psma3	Psma3
tor3a	Tor3a
si:ch1073-186i23.1	Adgrl2
tbc1d10aa	Tbc1d10a
si:dkey-33m11.7	Plau
hdac6	Hdac6
GORASP2	Gorasp2
bbs5	Bbs5
TSC22D2	Tsc22d2
hykk.2	Hykk
ctr9	Ctr9
iars1	Iars1
dnm2a	Dnm2
si:ch211-241f5.3	Adgre5
zdhhc20b	Zdhhc20
hgd	Hgd
sh3gl3a	Sh3gl3
CNTNAP2	Cntnap2
rhobtb2a	Rhobtb2
shisa7a	Shisa7
psmb9a	Psmb9
leng8	Leng8
morn2	Morn2
lmtk3	Lmtk3
rpl18	Rpl18
rbm15b	Rbm15b
rai14	Rai14
crebl2	Crebl2
scarb2c	Scarb2
cdhr1a	Cdhr1
spcs3	Arxes2
spcs3	Spcs3
spcs3	Arxes1
galnt7	Galnt7
abca12	Abca12
pck2	Pck2
dhodh	Dhodh
trpc2b	Trpc2
gba1	Gba1
ANO4	Ano4
slc7a6	Slc7a6
cdc42bpab	Cdc42bpa
SYAP1	Syap1
trhde.1	Trhde
rbbp4	Rbbp4
khdrbs1a	Khdrbs1
DORIP1	Gm527
rnpc3	Rnpc3
GGT7	Ggt7
tnr	Tnr
slc7a10a	Slc7a10
uqcc6	Uqcc6
si:dkey-42p14.3	Efcab10
rnft2	Rnft2
dlg4a	Dlg4
akr1a1a	Akr1b8
akr1a1a	Akr1b10
akr1a1a	Akr1b7
akr1a1a	Akr1c18
akr1a1a	Akr1cl
akr1a1a	Akr1c6
akr1a1a	Akr1c20
akr1a1a	Akr1c21
akr1a1a	Akr1c14
akr1a1a	Akr1c13
akr1a1a	Akr1c12
akr1a1a	Akr1c19
arhgap4b	Arhgap4
gng2	Gng2
clcf1	Clcf1
prss56	Prss56
dlst	Dlst
ndor1	Ndor1
lactb	Lactb
galnt16	Galnt16
si:ch1073-228j22.2	Spsb2
JDP2	Jdp2
fosaa	Batf2
g3bp1	G3bp1
coq4	Coq4
IQCA1	Iqca1
guk1b	Guk1
dcc	Dcc
hnrnpm	Hnrnpm
SLITRK1	Slitrk1
nqo1	Nqo2
fmnl3	Fmnl3
wdr43	Wdr43
hdac7a	Hdac7
hivep3b	Hivep3
tmem245	Tmem245
ampd3b	Ampd3
sil1	Sil1
TNS4	Tns4
taf8	Taf8
vps25	Vps25
nrp1a	Nrp1
selenow2b	Mien1
mgat1a	Mgat1
ephx4	Ephx4
ccdc174	Ccdc174
cd36	Cd36
grpr	Grpr
ccnb3	Ccnb3
cep120	Cep120
mapk10	Mapk10
ralgapb	Ralgapb
cnot7	Cnot7
gfap	Gfap
chrna5	Chrna5
ints6l	Ints6l
tmem248	Tmem248
slc29a1a	Slc29a1
ppp1r9bb	Ppp1r9b
ccdc12	Ccdc12
znf106a	Zfp106
rtca	Rtca
FGFRL1	Fgfrl1
kif15	Kif15
angptl7	Angptl7
grm8b	Grm8
scnm1	Scnm1
UNC13C	Unc13c
tmod4	Tmod4
cct8	Cct8
ctss2.1	Ctss
slc12a3	Slc12a3
rskrb	Rskr
PACS1	Pacs1
copb2	Copb2
hspg2	Hspg2
RRM2	Rrm2
dao.1	Dao
magi3a	Magi3
b3galt8	B3galnt1
b3galt8	B3galt5
b3galt8	B3gnt6
apc2	Apc2
gpr135	Gpr135
itpka	Itpka
allc	Allc
dpydb	Dpyd
HDAC3	Hdac3
C8orf82	C030006K11Rik
adam17a	Adam17
itgb1bp1	Itgb1bp1
bin2a	Bin2
sigirr	Sigirr
trib1	Trib1
adam17b	Adam17
arl13a	Arl13a
yipf6	Yipf6
polr1a	Polr1a
med28	Med28
cenpu	Cenpu
rassf7a	Rassf7
loxhd1a	Loxhd1
apbb1	Apbb1
arfgef3	Arfgef3
znf346	Zfp346
cyb561d1	Cyb561d1
chac2	Chac2
SNORD33	Snord32a
SNORD33	Gm56121
macrod2	Macrod2
dus1l	Dus1l
tspan4a	Tspan4
gtf2f1	Gtf2f1
spsb1	Spsb1
mlc1	Mlc1
tbc1d19	Tbc1d19
panx2	Panx2
NCKAP5	Nckap5
rerea	Rere
ssr3	Ssr3
nop9	Nop9
prickle3	Prickle3
GPR26	Gpr26
CROCC	Crocc
usp20	Usp20
psmb5	Psmb5
st8sia1	St8sia1
nts	Nts
NDUFB1	Ndufb1
aqp12	Aqp12
peli1b	Peli1
jam2b	Jam2
jam2b	Vsir
jam2b	Igsf5
jam2b	Muc15
jam2b	Clmp
nck2a	Nck2
KIF27	Kif27
SNORD57	Snord57
ZNF503	Zfp503
RASA2	Rasa2
elp5	Elp5
egfl7	Egfl7
snx7	Snx7
pm20d1.1	Pm20d1
lrp8	Lrp8
synpra	Synpr
clic1	Clic1
trub2	Trub2
ppt1	Ppt1
HK1	Hk1
tmem268	Tmem268
naalad2	Naalad2
naalad2	Folh1
luc7l	Luc7l
dnajb4	Dnajb4
cbwd	Zng1
slc17a7b	Slc17a7
utp23	Utp23
fbxo33	Fbxo33
guca1b	Guca1b
shisa2b	Shisa2
cntn5	Cntn5
kcnk2	Kcnk2
stag1a	Stag1
ipo11	Ipo11
irf8	Irf8
mal2	Mal2
nalcn	Nalcn
pld1a	Pld1
anln	Anln
znf131	Zfp131
si:ch73-236c18.3	Ggt1
lrig2	Lrig2
ece1	Ece1
prps1a	Prps1
prps1a	Prps1l1
prps1a	Prps1l3
arpc5b	Arpc5
evlb	Evl
si:dkey-162b23.4	Slc9b1
si:dkey-162b23.4	Slc9b2
gabra3	Gabra3
si:ch73-105b23.6	Muc4
mcfd2	Mcfd2
sf3a3	Sf3a3
GAN	Gan
MAPK8	Mapk8
mybphb	Mybph
vax1	Vax1
serpine1	Serpine1
gale	Gale
nrxn3a	Nrxn3
IER5L	Ier5l
chmp4bb	Chmp4b
si:cabz01080888.1	Slc24a2
hoxd11a	Hoxd11
slc30a2	Slc30a2
dnajc5ga	Dnajc5g
usp43b	Usp43
mmp25b	Mmp12
mmp25b	Mmp10
mmp25b	Mmp3
mmp25b	Mmp20
mmp25b	Mmp27
ncapd3	Ncapd3
calhm3	Calhm3
ogfr	Ogfr
cacna1eb	Cacna1e
ift172	Ift172
dbh	Dbh
cherp	Cherp
morn4	Morn4
rsph4a	Rsph6a
rsph4a	Rsph4a
cyp1b1	Cyp1b1
septin5b	Septin5
faxca	Faxc
LURAP1L	Lurap1l
pusl1	Pusl1
hapln1b	Hapln1
riok1	Riok1
strbp	Strbp
ube2b	Ube2b
cdkn2aipnl	Cdkn2aipnl
npr1b	Npr2
creb3l4	Creb3l4
dek	Dek
mapk14b	Mapk14
ddx46	Ddx46
rdh5	Rdh5
mylk4a	Mylk4
PET117	Pet117
fam114a1	Fam114a1
slc22a18	Slc22a18
glt8d2	Glt8d2
nppb	Nppb
ndufb11	Ndufb11b
ndufb11	Ndufb11
ndufa4l2b	Ndufa4l2
gamt	Gamt
trappc6b	Trappc6b
MEGF11	Megf11
pde3a	Pde3a
sbf2	Sbf2
trim45	Trim47
trim45	Trim45
tbxa2r	Tbxa2r
itm2bb	Itm2b
tmem9b	Tmem9b
accs	Accsl
stk33	Stk33
gipc1	Gipc1
slc45a1	Slc45a1
nr1h4	Nr1h4
glyctk	Glyctk
dgkg	Dgkg
susd6	Susd6
galnt13	Galnt13
ppp1r16a	Ppp1r16a
PEBP4	Pebp4
atxn10	Atxn10
ncaph2	Ncaph2
lpxn	Lpxn
psmd7	Psmd7
nudt7	Nudt7
wwox	Wwox
gfm1	Gfm1
SNORA62	Gm55131
SNORA62	Gm24044
irf5	Irf5
trpm2	Trpm2
sacm1lb	Sacm1l
rrp9	Rrp9
il17a/f1	Il17f
bin1a	Bin1
manf	Manf
aadac	Aadac
snx17	Snx17
pcbp4	Pcbp4
prkag2b	Prkag2
stard7	Stard7
gtf2e2	Gtf2e2
SNORD66	Snord66
HTRA3	Htra3
ppp6r2b	Ppp6r2
ZDHHC14	Zdhhc14
cdc20b	Cdc20b
pip4k2cb	Pip4k2c
fam113	Pced1b
fam113	Pced1a
s100t	S100a2
s100t	S100a7a
s100t	S100a3
s100t	S100a14
s100t	S100a4
s100t	S100a6
s100t	S100g
s100t	Crnn
s100t	S100a10
s100t	S100a9
s100t	Gm5849
s100t	Gm63953
s100t	Gm63964
s100t	S100a8
s100t	S100a5
slc29a4b	Slc29a4
ucmaa	Ucma
msl2b	Msl2
rbbp8l	Rbbp8nl
ola-mir-18-1	Mir18
tpp2	Tpp2
rnf34b	Rnf34
ccdc186	Ccdc186
psmd4b	Psmd4
TC2N	Tc2n
gnb3b	Gnb3
setd1ba	Setd1b
cers3b	Cers3
rc3h1b	Rc3h1
prr15lb	Prr15
nmnat2	Nmnat2
lamc2	Lamc1
MEF2D	Mef2d
usp45	Usp45
hspb8	Hspb8
traip	Traip
capslb	Capsl
acanb	Acan
rpusd1	Rpusd1
KCNA3	Kcna3
mcoln2	Mcoln2
lix1	Lix1
nipsnap1	Nipsnap1
pisd	Pisd
fam83d	Fam83d
sts	Sts
ncf1	Ncf1
rgs19	Rgs19
gsx1	Gsx1
mrpl36	Mrpl36
lcp1	Lcp1
cnot11	Cnot11
kdm2ab	Kdm2a
isl1a	Isl1
pdha1a	Pdha2
pdha1a	Pdha1
sparc	Sparc
osbpl3a	Osbpl3
rps6kc1	Rps6kc1
wdr37	Wdr37
mfsd14ba	Mfsd14b
tent4b	Tent4b
PCGF3	Pcgf3
taf1c	Taf1c
oxnad1	Oxnad1
arpc1b	Arpc1b
arpc1b	Gm62072
acad9	Acad9
med8	Med8
mex3a	Mex3a
lzts2b	Lzts2
pcnp	Pcnp
arf3b	Arf3
cpne8	Cpne6
akap12b	Akap12
itgb1a	Itgb1
arf6b	Arf6
nanos1	Nanos1
zgc:153867	Myl6
zgc:153867	Myl6b
prkcda	Prkcd
adamts3	Adamts3
phactr2	Phactr2
mirlet7g-2	Mirlet7f-2
dlx6a	Dlx6
sem1	Sem1
map3k21	Map3k21
MYPN	Mypn
rida	Rida
vbp1	Vbp1
tmem26a	Tmem26
kif23	Kif23
glb1l2	Glb1l3
glb1l2	Gm1110
glb1l2	Glb1l2
syt8	Syt8
CASK	Cask
gldn	Gldn
mast2	Mast2
ripor2	Ripor2
gmnn	Gmnn
cart ch4	Cartpt
smad5	Smad5
kcnb1	Kcnb1
pla2g4c	Pla2g4c
cse1l	Cse1l
mrpl2	Mrpl2
fgb	Fgb
puf60b	Puf60
stxbp5l	Stxbp5l
tspan3b	Tspan3
gca	Gca
ca8	Car8
WDR37	Wdr37
mrpl19	Mrpl19
SKOR1	Skor1
nelfa	Nelfa
larp4aa	Larp4
usp49	Usp49
amfrb	Amfr
rpl37	Rpl37
cmpk2	Cmpk2
otulina	Yae1d1
b4galnt4a	B4galnt4
rgs8	Rgs8
rgs8	Rgs16
PITPNM2	Pitpnm2
smpd3	Smpd3
si:ch211-194m7.5	Olfm5
lrp10	Lrp10
cables2a	Cables2
guca1d	1700109H08Rik
guca1d	Hpcal4
ALX3	Alx3
rlf	Rlf
setd5	Setd5
slc16a3b	Slc16a3
rps28	Rps28
tmem17	Tmem17
mad2l1bp	Mad2l1bp
gtse1	Gtse1
pcsk5b	Pcsk5
GFI1	Gfi1
med18	Med18
serpinf1	Serpinf1
boka	Bok
SYNDIG1	Syndig1
tacr1a	Tacr1
kcnn4	Kcnn4
bicdl1	Bicdl1
bub3	Bub3
ilf2	Ilf2
reps1	Reps1
pou2f1b	Pou2f1
MGAT5B	Mgat5b
dok7b	Dok7
kifbp	Kifbp
cybb	Cybb
pin4	Pin4
slc17a5	Slc17a3
slc17a5	Slc17a2
slc17a5	Slc17a5
slc17a5	Slc17a4
slc17a5	Slc17a1
rnft1	Rnft1
gga3b	Gga3
nsa2	Nsa2
rgs6	Rgs6
LHFPL6	Lhfpl6
pcdh18a	Pcdh18
npepps	Npepps
rcbtb2	Rcbtb2
idh3b	Idh3b
plcg2	Plcg2
ACYP2	Acyp2
eomesb	Eomes
arvcfb	Arvcf
fam177a1	Fam177a
fam177a1	Fam177a2
dock7	Dock7
pde4d	Pde4d
neu1	Neu1
kdm1a	Kdm1a
c9	C9
ssx2ipa	Ssx2ip
pter	Pter
EIF4E3	Eif4e3
ppp1r13bb	Ppp1r13b
mta2	Mta2
ggnbp2	Ggnbp2
metap1	Metap1
znrd2	Znrd2
pls1	Pls1
tp73	Trp73
rhbdl1	Rhbdl1
jtb	Jtb
E2F3	E2f3
tppp3	Tppp3
aplp2	Aplp2
bmerb1	Bmerb1
syt14a	Syt14
SAMD9L	Samd9l
ZNF703	Zfp703
CYTH3	Cyth3
akap10	Akap10
DXO	Dxo
zcrb1	Zcrb1
swt1	Swt1
ilf3b	Ilf3
fes	Fes
EME2	Eme2
neflb	Nefl
nubp2	Nubp2
padi2	Padi6
padi2	Padi1
padi2	Padi3
padi2	Padi4
padi2	Padi2
gdpd4a	Gdpd4
slc2a1b	Slc2a1
crtc3	Crtc3
samd15	Samd15
ptgs2b	Ptgs2
rhoq	Rhoq
tpi1b	Tpi1
pitpnaa	Pitpna
tp53bp1	Trp53bp1
gje1b	Gje1
itgb1b.1	Itgb1
zbtb41	Zbtb41
cldn7b	Cldn7
mtr	Mtr
HRH2	Hrh2
si:dkey-87k14.1	Flrt2
gabra6b	Gabra6
gapdh	Gapdh
gapdh	Gapdhrt
gapdh	Gapdhrt2
osbpl6	Osbpl6
zgc:114120	Srcin1
hspa12a	Hspa12a
rb1cc1	Rb1cc1
ACACA	Acaca
kcnmb2a	Kcnmb2
cgnl1	Cgnl1
serpine3	Serpine3
sepsecs	Sepsecs
zgc:154006	Ell3
zgc:154006	Ocel1
csnk2a2a	Csnk2a2
n4bp1	N4bp1
iqgap3	Iqgap3
trim16	Trim16
lsg1	Lsg1
dhrs9	Dhrs9
npffl	Npff
boll	Boll
tmed1a	Tmed1
cyp4f3	Cyp4b1
cyp4f3	Cyp4x1
cyp4f3	Cyp4a30b
cyp4f3	Cyp4a10
cyp4f3	Cyp4a32
cyp4f3	Cyp4a31
cyp4f3	Cyp4f18
cyp4f3	Cyp4f15
cyp4f3	Cyp4f40
cyp4f3	Cyp4f14
cyp4f3	Cyp4a12a
cyp4f3	Cyp4a12b
cyp4f3	Cyp4a14
cyp4f3	Cyp4a29
prpf40a	Prpf40a
foxh1	Foxh1
KIF18A	Kif18a
fbxo10	Fbxo10
prdm4	Prdm4
strip2	Strip2
SGK1	Sgk1
ATXN7L3	Atxn7l3
eps8a	Eps8
camk2d2	Camk2d
rec8b	Rec8
cand1	Cand1
ppa1b	Ppa1
rps24	Rps24
large1	Large1
GPR55	Gpr55
grm3	Grm3
slc17a9b	Slc17a9
mpx	Epx
rps3	Get1
ptprr	Ptprr
SLC22A17	Slc22a17
kbtbd11	Kbtbd11
zeb2b	Zeb2
tubgcp5	Tubgcp5
miox	Miox
mfng	Mfng
ZNF654	Zfp654
dctn1a	Dctn1
top1b	Top1
inhbab	Inhba
syngr1a	Syngr1
avil	Avil
slc25a35	Slc25a35
myt1a	Myt1
cpne4a	Cpne4
ndel1a	Ndel1
c5	AI182371
c5	Hc
pygo2	Pygo2
fas	Fas
fgfr1b	Fgfr1
golga5	Golga5
ndufaf1	Ndufaf1
kcnj8	Kcnj8
kcnd3	Kcnd3
tbx21	Tbx21
keap1b	Keap1
plcd4b	Plcd4
CUL3	Cul3
CD3D	Cd3d
CD3D	Cd3g
tspan2b	Tspan2
KCNAB3	Kcnab3
api5	Api5
cdc37	Cdc37
ythdc1	Ythdc1
nipal4	Nipal4
tmem81	Tmem81
mir499a	Mir499
agt	Agt
ece2a	Eef1akmt4
pik3c2a	Pik3c2a
cyb561d2	Cyb561d2
NEFH	Nefh
spsb4a	Spsb4
ccm2l	Ccm2l
zgc:56106	1110004F10Rik
emp2	Emp2
rps4x	Rps4x
rps4x	Rps4l
zdhhc20a	Zdhhc20
cab39	Cab39
kat7b	Kat7
SLC25A42	Slc25a42
ctxn1	Ctxn1
ndfip2	Ndfip2
emb	Emb
cep57l1	Cep57l1
ccni	Ccni
msgn1	Msgn1
plxdc1	Plxdc1
pfkpa	Pfkp
zgc:100829	Sh2d4a
C1QL2	C1ql2
si:dkeyp-73b11.8	Spint4
erbb3b	Erbb3
SLC6A19	Slc6a19
swap70b	Swap70
rbm19	Rbm19
dbn1	Dbn1
lpcat2	Lpcat2b
lpcat2	Lpcat2
zbtb24	Zbtb24
tti1	Tti1
vcpkmt	Vcpkmt
gemin5	Gemin5
mkxa	Mkx
si:ch73-60h1.1	Mknk1
nfatc2a	Nfatc2
bmp15	Bmp15
shroom4	Shroom4
hnrnpabb	Hnrnpab
trmt112	Trmt112
mtmr7a	Mtmr7
FEM1A	Fem1a
FEM1A	Fem1al
dipk1ab	Dipk1a
micu3b	Micu3
mapk1	Mapk1
sec61a1	Sec61a1
cdc14ab	Cdc14a
stk3	Stk3
smoc2	Smoc2
cd276	Cd276
tmem185	Tmem185a
mul1	Mul1
pnp5a	Pnp2
pnp5a	Pnp
slc66a1	Slc66a1
scg3	Scg3
HHIPL1	Hhipl1
ntmt2	Ntmt2
ctsf	Ctsf
malsu1	Malsu1
parp3	Parp3
fnta	Fnta
TMEM80	Tmem80
ncam1a	Ncam1
dazap2	Dazap2
haus3	Haus3
LACTB2	Lactb2
letmd1	Letmd1
piwil2	Piwil2
mir210	Mir210
ttll1	Ttll1
vstm4b	Vstm4
acadl	Acadl
KLHL12	Klhl12
lpin1a	Lpin1
rilpl2	Rilpl2
kctd13	Kctd13
ldlrad2	Ldlrad2
rnasekb	Rnasek
tmem186	Tmem186
amy2al1	Amy1
met	Met
pds5b	Pds5b
vwa8	Vwa8
septin2	Septin2
oat	Oat
mmaa	Mmaa
mark3a	Mark3
phf10	Phf10
rnf8	Rnf8
ubn2a	Ubn2
prorsd1	Prorsd1
LRIT2	Lrit2
opn4b	Opn4
gpc1a	Gpc1
agtpbp1	Agtpbp1
tspan33a	Tspan33
scaf4b	Scaf4
adrb2a	Adrb2
map6a	Map6
TIA1	Tia1
sumo3b	Sumo3
bin1b	Bin1
mxra8b	Mxra8
napgb	Napg
sdc2	Sdc2
slc30a6	Slc30a6
atp5l	Atg5lrt
atp5l	Atp5mg
myom1a	Myom1
nup93	Nup93
chmp5a	Chmp5
abcc10	Abcc10
EIF4ENIF1	Eif4enif1
GNAL	Gnal
calm1a	Calm3
calm1a	Calml3
eci1	Eci1
rcn1	Rcn1
spata2l	Spata2l
prrc2a	Prrc2a
vps9d1	Vps9d1
qtrt2	Qtrt2
lrit3a	Lrit3
RAB9A	Rab9
edn1	Edn1
emc6	Emc6
camk1db	Camk1d
tmf1	Tmf1
ctrb.3	Ctrb1
apol1	Apold1
itih3a.2	Itih3
kirrel1a	Kirrel1
sypl1	Sypl1
patl1	Patl1
trim55b	Trim55
phf21ab	Phf21a
itga4	Itga4
cyp26a1	Cyp26a1
anp32e	Anp32e
rap1gapb	Rap1gap
eif4g3a	Eif4g3
ptk2ab	Ptk2
crkl	Crkl
phtf1	Phtf1
mettl14	Mettl14
neil3	Neil3
NFIB	Nfib
gad1b	Gad1
tfap4	Tfap4
sorcs2	Sorcs2
gpr155b	Gpr155
gdf10a	Gdf10
gsc	Gsc
atg9b	Atg9b
KCND3	Kcnd3
rcc2	Rcc2
tespa1	Tespa1
spc25	Spc25
tbx15	Tbx15
kcnab2a	Kcnab2
dnajb1a	Dnajb3
dnajb1a	Dnajb1
dnajb1a	Dnajb8
dnajb1a	Dnajb7
dnajb1a	4930503B20Rik
arhgef12a	Arhgef12
POLR3D	Polr3d
adgrl1a	Adgrl1
tpcn2	Tpcn2
magi2b	Magi2
entpd4	Entpd4
entpd4	Entpd4b
ccar1	Ccar1
myb	Myb
slc38a3b	Slc38a3
katnb1	Katnb1
grm2b	Grm2
rps12	Rps12
znf395a	Zfp395
sptssb	Sptssb
mfsd1	Mfsd1
nme6	Nme6
orla-uia1	Azgp1
orla-uia1	Fcgrt
arhgap21b	Arhgap21
CIART	Ciart
hgsnat	Hgsnat
fam107b	Fam107b
ankrd11	Ankrd11
inpp5ja	Inpp5j
clcn2a	Clcn2
tefb	Tef
cdip1	Cdip1
xpnpep3	Xpnpep3
baiap3	Baiap3
chrna9b	Chrna9
nccrp1	Nccrp1
fgf18a	Fgf18
ccnh	Ccnh
calm1b	Calm3
calm1b	Calml3
hck	Hck
adrb1	Adrb1
f8a	F8a
ptpn9a	Ptpn9
tubg1	Tubg1
bsx	Dlx4
pbdc1	Pbdc1
eprs1	Eprs1
tmem79a	Tmem79
thra	Thra
dusp19b	Dusp19
pard3ba	Pard3b
psmc6	Psmc6
rfc5	Rfc5
tctn2	Tctn2
tns1b	Tns1
iapp	Iapp
cdkl1	Cdkl1
dhx58	Dhx58
thumpd1	Thumpd1
clp1	Clp1
metap2b	Metap2
prodhb	Prodh
SLC2A13	Slc2a13
b4galt4	B4galt4
mzt1	Mzt1
pah	Pah
mlh3	Mlh3
paqr6	Paqr6
rnd2	Rnd2
fat2	Fat2
prss1	Try5
prss1	Try4
prss1	Prss1l
prss1	Prss1
prss1	Try10
prss1	Prss3l
prss1	Prss3b
prss1	Gm2663
prss1	Prss3
prss1	Prss2
prss1	1810009J06Rik
VAV1	Vav1
si:dkey-239i20.4	Fmo9
slc66a3	Slc66a3
heatr3	Heatr3
golga2	Golga2
CPLX1	Cplx1
grin2ab	Grin2a
GABRG3	Gabrg3
RPP14	Rpp14
efhd1	Efhd1
cfap221	Hydin
plekhh1	Plekhh1
si:dkey-78k11.9	Npsr1
cul2	Cul2
ganabb	Ganab
kcnq2	Kcnq2
TMEM250	Tmem250
itih6	Itih6
atp6ap1b	Atp6ap1
b4galnt1a	B4galnt1
TBX22	Tbx22
sncaip	Sncaip
kif26ab	Kif26a
c6.2	C6
naaa	Naaa
gpr137c	Gpr137c
ptger2a	Ptger2
slc4a4a	Slc4a4
arhgap12b	Arhgap12
sdf4	Sdf4
WHAMM	Whamm
ift74	Ift74
abcg5	Abcg5
rab34a	Rab34
slc38a6	Slc38a6
mak16	Mak16
rrh	Rrh
zgc:111986	BC005537
arhgef19	Arhgef19
akt2	Akt2
nrg1	Nrg1
skap2	Skap2
rhpn1	Rhpn1
atpaf1	Atpaf1
nxnl2	Nxnl2
incenp	Incenp
ccr6a	Ccr6
shisa9a	Shisa8
klhdc3	Klhdc3
vps50	Vps50
PLA2G12B	Pla2g12b
nme3	Nme3
gba2	Gba2
mfge8a	Mfge8
CDR2	Cdr2
riok3	Riok3
qsox2	Qsox2
smpd1	Smpd1
chpt1	Chpt1
ptcd3	Ptcd3
BPHL	Bphl
nuak2	Nuak2
msmo1	Msmo1
cfap65	Cfap65
cstf2	Cstf2
arhgap18	Arhgap18
tspan6	Tspan6
man1b1a	Man1b1
rock2b	Rock2
kctd7	Kctd7
dhrs4	Dhrs2
tprn	Tprn
clpp	Clpp
si:dkey-5g14.1	Slc46a3
znf609b	Zfp609
rcor3	Rcor3
