marchf1	36951
dennd1c	DENND1C
si:dkey-82f1.1	DENND2A
LOC107384075	DENND2A
dennd2c	DENND2C
LOC107391387	DENND2D
dennd3a	DENND3
dennd4a	DENND4A
LOC107381832	DENND4A
dennd4b	DENND4B
dennd5a	DENND5A
LOC107388926	DENND5A
dennd6b	DENND6B
LOC107378930	DEPDC1B
depdc4	DEPDC4
depdc5	DEPDC5
depdc7a	DEPDC7
LOC107389221	DEPDC7
deptor	DEPTOR
dera	DERA
derl1	DERL1
derl2	DERL2
LOC107384652	DES
desmb	DES
LOC107390157	DES
desi1b	DESI1
desi1a	DESI1
desi2	DESI2
det1	DET1
dffa	DFFA
dffb	DFFB
whrna	WHRN
dgat1a	DGAT1
dgat1b	DGAT1
dgat2	DGAT2
ess2	DGCR14
dgcr2	DGCR2
dgcr6	AC007325.4
dgcr8	DGCR8
dgkab	DGKA
dgkaa	DGKA
LOC107379929	DGKD
LOC107378168	SAMD15
dgke	DGKE
LOC107389555	DGKB
si:dkey-172j4.3	DGKK
dgki	DGKZ
LOC107380880	DGKQ
dguok	DGUOK
dhcr24	DHCR24
dhcr7	DHCR7
dhdds	DHDDS
dhdh.2	DHDH
dhh	DHH
dhodh	DHODH
dhps	DHPS
dhrs1	DHRS1
LOC107379993,dhrs11a	DHRS11
LOC107380735	DHRS13
dhrs3b	DHRS3
dhrs4	DHRS2
dhrs7	DHRS7
dhrs7b	DHRS7B
dhrs7cb	DHRS7C
dhrs7ca	DHRS7C
dhrsx	DHRSX
LOC107390240	DHRSX
dhtkd1	DHTKD1
dhx15	DHX15
LOC139070399	DHX15
dhx16	DHX8
dhx29	DHX29
dhx30	DHX30
dhx32b	DHX32
dhx34	DHX34
dhx35	DHX35
dhx36	DHX36
dhx37	DHX37
dhx38	DHX38
dhx40	DHX40
dhx57	DHX57
dhx58	DHX58
dhx8	DHX8
dhx9	DHX9
LOC107380006	DIABLO
LOC139062529	DIABLO
LOC107381640	DIAPH3
LOC129152278	DIAPH2
dicer1	DICER1
LOC107385108	DIDO1
LOC107391153	DIDO1
utp25	DIEXF
dimt1l	DIMT1
dio2	DIO2
dio3a	DIO3
dip2a	DIP2A
dip2bb	DIP2B
dip2ba	DIP2B
LOC139061697	DIP2C
diras1a	DIRAS1
diras1b	DIRAS1
slc49a4	DIRC2
dis3	DIS3
dis3l	DIS3L
dis3l2	DIS3L2
disc1	DISC1
disp1	DISP1
disp2	DISP2
dixdc1b	DIXDC1
dixdc1a	DIXDC1
dkc1	DKC1
adamts12	ADAMTS12
dkk1b	DKK1
dkk2	DKK2
dkk3a	DKK3
dkk3b	DKK3
dla	DLL1
dlat	DLAT
dlb	DLL1
dlc1	DLC1
dld	DLL1
dldh	DLD
dlec1	DLEC1
LOC107392960	DLG1
dlg1b	DLG1
dlg2	DLG1
dlg3	DLG3
LOC107386432	DLG1
LOC107374534	DLG1
dlg5a	DLG5
dlgap1a	DLGAP1
dlgap1b	DLGAP1
LOC107377833	DLGAP2
dlgap3	DLGAP3
dlgap4b	DLGAP1
dlgap4a	DLGAP4
dlgap5	DLGAP5
LOC107392231	DLK1
dlk2	DLK2
dll4	DLL4
LOC107392426	DLL4
dlst	DLST
dlx1a	DLX1
dlx2a	DLX2
LOC107376209	DLX3
dlx3b	DLX3
LOC107376210	DLX4
dlx4b	DLX4
dlx5a	DLX5
dlx6a	DLX6
dmap1	DMAP1
dmbx2	DMBX1
dmbx1a	DMBX1
dmbx1b	DMBX1
dmc1	RAD51
dmgdh	DMGDH
dmrt1	DMRT1
dmrt2a	DMRT2
dmrt3a	DMRT3
LOC107377418	DMRTA1
dmrta2	DMRTA2
dmtf1	DMTF1
LOC107394150	DMXL1
dmxl2	DMXL2
dna2	DNA2
LOC107380504	DNAAF1
dnaaf2	DNAAF2
dnah10	DNAH10
LOC129160063	DNAH10
LOC107383346	DNAH3
dnah5	DNAH5
LOC107389817	DNAI1
dnai1.2	DNAI1
dnai2b	DNAI2
dnaja1	DNAJA1
dnaja2a	DNAJA2
dnaja2b	DNAJA2
dnaja3a	DNAJA3
LOC107382132	DNAJA3
dnaja	DNAJA4
dnajb11	RP11-134F2.8
dnajb12b	DNAJB12
dnajb12a	DNAJB12
dnajb13	DNAJB13
dnajb14	DNAJB14
dnajb1a	DNAJB1
dnajb1b	DNAJB1
dnajb2	DNAJB2
dnajb5	DNAJB5
zgc:122979	DNAJB5
dnajb6b	DNAJB6
dnajb9a	DNAJB9
LOC107384359	DNAJB9
dnajc1	DNAJC1
dnajc10	DNAJC10
dnajc11a	DNAJC11
LOC107385541	DNAJC11
dnajc12	DNAJC12
LOC107382559	DNAJC13
dnajc14	RP11-762I7.5
dnajc15	DNAJC15
dnajc16	DNAJC16
LOC107385556	DNAJC16
dnajc17	DNAJC17
dnajc18	DNAJC18
dnajc19	DNAJC19
dnajc2	DNAJC2
dnajc21	DNAJC21
dnajc22	DNAJC22
dnajc24	DNAJC24
dnajc25	DNAJC25
dnajc27	DNAJC27
dnajc28	DNAJC28
dnajc3a	DNAJC3
dnajc4	DNAJA3
LOC107391200	DNAJC5
LOC107390548	DNAJC5
LOC107383401	DNAJC5B
dnajc5ga	DNAJC5G
dnajc5gb	DNAJC5G
dnajc6	DNAJC6
dnajc7	DNAJC7
LOC107387856	DNAJC7
dnajc8	DNAJC8
dnajc9	DNAJC9
LOC107390117,LOC107394806	DNAL1
LOC107375175	DNAL4
dnali1	DNALI1
LOC107387793	DNALI1
dnase1	DNASE1
LOC107391497	DNASE1L1
dnase1l1	DNASE1L1
dnase2	DNASE2B
dnase2b	DNASE2B
dnd1	DND1
dner	DNER
LOC107375035	DNHD1
dnlz	DNLZ
dnm1a	DNM1
LOC107386210	DNM1
LOC107384182	DNM1L
dnm1l	DNM1L
dnm2a	DNM2
dnm2b	DNM2
dnm3a	DNM3
dnmbp	DNMBP
dnmt1	DNMT1
LOC107377776	DNMT3A
dnmt3ab	DNMT3A
dnph1	DNPH1
dntt	DNTT
dnttip2	DNTTIP2
LOC107387956	DOC2B
dock10	DOCK10
dock2-like	DOCK1
LOC107385885	DOCK3
LOC107391060	DOCK3
dock4b	DOCK4
dock5	DOCK5
dock7	DOCK7
dock8	DOCK8
LOC107389974	DOCK9
dohh	DOHH
LOC107394265	DOK1
dok1b	DOK1
dok2	DOK2
dok6	DOK6
dok7b	DOK7
LOC107377376	DOK7
dolk	DOLK
dolpp1	DOLPP1
dxo	DXO
LOC107374043	DONSON
dop1a	DOPEY1
dop1b	DOPEY2
dot1l	DOT1L
dpagt1	DPAGT1
dpcd	DPCD
dpep1	DPEP2
dpep2	DPEP2
dpf1	DPF1
dpf2	DPF3
LOC107377286	DPF3
dpf3	DPF3
LOC107392430	DPF3
dph1	DPH1
dph2	DPH2
dph3	DPH3
dph5	DPH5
dpm1	DPM1
dpm2	DPM2
LOC107382735	DPP10
LOC107396538	DPP10
dpp3	DPP3
dpp4	FAP
LOC107383076	DPP6
LOC107383946	DPP6
LOC107392817	DPP9
LOC107395657	DPP9
dpt	DPT
dpy19l1l	DPY19L1
dpy19l3	DPY19L3
LOC107395729	DPY19L4
dpy30	DPY30
dpydb	DPYD
dpys	DPYS
dpysl2a	DPYSL2
dpysl2b	DPYSL2
dpysl3	DPYSL3
dpysl4	DPYSL4
dpysl5a	DPYSL5
LOC107377775	DPYSL5
dr1	DR1
dram1	DRAM1
dram2b	DRAM2
drap1	DRAP1
draxina	DRAXIN
drd1b	DRD1
drd2a	DRD2
drd2l	DRD2
drd3	DRD3
drd4b	DRD4
drd4a	DRD4
drd5a	DRD5
drg1	DRG2
drg2	DRG2
drgx	DRGX
drp2	DRP2
dsc2l	DSC3
LOC107386033	DSCAM
dscamb	DSCAM
dscaml1	DSCAML1
LOC107386539	DSCAML1
dscc1	DSCC1
vps26c	DSCR3
dse	DSE
LOC107382576	DSEL
si:ch73-74h11.1	DSG3
dspa	DSP
LOC129166758	PLEC
dst	DST
dstyk	DSTYK
dtd2	RP11-176H8.1
dtl	DTL
dtna	DTNA
dtnba	DTNB
dtnbp1b	DTNBP1
dtwd1	DTWD1
dtwd2	DTWD2
dtx1	DTX1
LOC107396768	DTX1
dtx2	DTX2
dtx3	DTX3
dtx4a	DTX4
dtymk	DTYMK
dub	RCSD1
duox	DUOX2
LOC107375604	DUPD1
LOC107387557	DUPD1
dus1l	DUS1L
dus2	DUS2
dus3l	DUS3L
dus4l	DUS4L
dusp1	DUSP1
dusp10	DUSP10
LOC107395294	DUSP11
dusp12	DUSP12
LOC107375603	DUSP13
dusp14	DUSP14
dusp16	DUSP16
dusp19a	DUSP19
dusp2	DUSP2
LOC107393716	DUSP18
dusp23b	DUSP23
LOC107395981	DUSP26
dusp27	DUSP27
dusp28	DUSP28
LOC107376202	DUSP3
dusp4	DUSP4
dusp5	DUSP5
dusp6	DUSP6
dusp7	DUSP7
dusp8a	DUSP8
dut	DUT
dvl1a	DVL1
dvl2	DVL2
LOC107379914	DVL2
LOC107384150	DVL3
gdf3	CERS1
dydc2	DYDC2
dym	DYM
dync1h1	DYNC1H1
LOC107383294	DYNC1I1
dync1i2a	DYNC1I2
LOC107384110	DYNC1I2
dync1li1	DYNC1LI1
dync1li2	DYNC1LI2
dync2i2	WDR34
dync2li1	DYNC2LI1
dynll1,dynll2a,dynll2b	DYNLL2
dynlrb1	DYNLRB1
dynlt1b	DYNLT1
LOC107389832	DYNLT3
LOC107384633	DYNLT3
dyrk1ab	DYRK1A
dyrk1b	DYRK1B
dyrk2	DYRK2
dyrk3	DYRK3
dyrk4	RP11-500M8.7
dysf	DYSF
dytn	DYTN
dnaaf4	DYX1C1
dzank1	DZANK1
dzip1	DZIP1
ttc3	TTC3
e2f2	E2F3
LOC107378737	E2F3
e2f3	E2F3
LOC139066350	E2F6
LOC107377939	E2F6
e2f7	E2F7
e2f8	E2F8
e4f1	E4F1
eaf1	EAF1
eapp	EAPP
ebag9	EBAG9
ebf3b	EBF3
LOC107380922	EBF3
ebi3	EBI3
ebna1bp2	EBNA1BP2
ebp	EBP
ebpl	RCBTB1
ecd	ECD
ece1	ECE1
LOC107380779	ECEL1
ech1	ECHS1
LOC107378790,LOC139070036	ECHDC1
echdc2	ECHDC2
echdc3	ECHS1
echs1	ECHS1
eci1	ECI1
eci2	ECI2
ecm2	ECM2
ecsit	ECSIT
ect2	ECT2
LOC107377201	ECT2L
eda	EDA
edar	EDAR
edaradd	EDARADD
edc3	EDC3
LOC107382110	EDC3
edc4	EDC4
edem1	EDEM1
edem2	EDEM2
edem3	EDEM3
edf1	EDF1
edil3a	EDIL3
edn1	EDN1
edn2	EDN2
edn3b	EDN3
ednraa	EDNRA
LOC107376805	EDNRA
LOC107384300	EDNRB
ednrbb	EDNRB
eea1	EEA1
eed	EED
LOC107396771,eef1a1a,eef1a1l2	EEF1A1
eef1b2	EEF1D
eef1da	EEF1D
eef1db	EEF1D
eef1e1	EEF1E1
eef1g	EEF1G
eef2k	EEF2K
eefsec	EEFSEC
eepd1	EEPD1
elf1	ELF4
clxn	EFCAB1
efcab10	EFCAB10
efcab14	EFCAB14
efcab2	EFCAB2
cracr2ab	CRACR2A
efemp1	EFEMP1
efemp2a	EFEMP2
micu2	MICU2
micu3a	MICU3
micu3b	MICU3
efhb	EFHB
efhc1	EFHC1
efhd1	EFHD1
efna1a	RP11-540D14.8
efna1b	RP11-540D14.8
efna2a	EFNA2
LOC107393091	EFNA2
efna3a	RP11-540D14.8
efna3b	RP11-540D14.8
si:dkey-246i14.3	EFNA5
LOC107374959	EFNA5
efnb1	EFNB1
LOC107381149	EFNB2
efnb2a	EFNB2
efnb3b	EFNB3
LOC107384609	EFR3B
LOC107377601	EFR3B
eftud2	EFTUD2
egf	EGF
si:ch211-194g2.4	EGFL6
egfl6	EGFL6
egfl7	EGFL7
LOC107394022	EGFLAM
LOC107383161	EGFR
egfra	EGFR
egln1a	EGLN1
egln2	CTC-490E21.12
egln3	EGLN3
egr1	EGR1
LOC107396841	EGR2
egr2b	EGR2
egr3	EGR3
ehbp1	EHBP1
ehd1a	EHD3
ehd2b	EHD2
LOC107380508	EHD4
ehd4	EHD4
ehf	EHF
ehhadh	EHHADH
ehmt1a	EHMT1
ehmt1b	EHMT1
ehmt2	EHMT1
ei24	EI24
eif1ad	EIF1AD
eif1axb	EIF1AX
eif1	EIF1
eif2a	EIF2A
eif2ak1	EIF2AK1
LOC107375366	EIF2AK2
LOC107375439	EIF2AK2
eif2ak3	EIF2AK3
eif2ak4	EIF2AK4
eif2b1	EIF2B1
eif2b2	EIF2B2
eif2b4	EIF2B4
eif2b5	EIF2B5
ago1	AGO3
ago3a,ago3b	AGO3
ago4	AGO4
eif2d	EIF2D
eif2s1b	EIF2S1
eif2s2	EIF2S2
eif2s3	EIF2S3L
eif3ba	EIF3B
eif3ea	EIF3E
eif3f	AL356585.1
eif3g	EIF3G
LOC139070039	EIF3H
eif3i	EIF3I
eif3jb	EIF3J
eif3k	EIF3K
eif3m	EIF3M
eif3s10	EIF3A
eif3s6ip	EIF3L
eif4a2	EIF4A2
eif4a3	EIF4A3
LOC107385914	EIF4B
eif4e2	EIF4E2
LOC107385811	EIF4E3
eif4ea,eif4eb	EIF4E
LOC107396958	EIF4EBP1
LOC107394233	EIF4EBP1
eif4ebp2	EIF4EBP2
eif4ebp3l	EIF4EBP3
eif4enif1	EIF4ENIF1
eif4g2b	EIF4G2
eif4g2a	EIF4G2
eif4g3a	EIF4G3
eif4h	EIF4H
eif5	EIF5
eif5a	EIF5A2
eif5b	EIF5B
eif6	RP4-614O4.11
LOC107390707	CTRC
LOC107390706	CTRC
elac1	RP11-729L2.2
elac2	ELAC2
elavl2	ELAVL2
elavl3	ELAVL3
elavl4	ELAVL4
elf2b	ELF2
elf3	ELF3
elfn1a	ELFN1
LOC107390002	ELFN1
LOC107391362	ELFN2
LOC107376628	ELFN2
elk1	ELK1
LOC107388452	ELK3
elk3	ELK3
elk4	ELK4
ell	ELL
LOC107392115	ELL
ell2	ELL2
LOC107388803	ELL3
elmo1	ELMO1
elmo2	ELMO2
elmo3	ELMO3
elmod1	ELMOD1
elmod2	ELMOD2
elmod3	ELMOD3
mideasb	ELMSAN1
mideasa	ELMSAN1
elovl1a	ELOVL1
elovl1b	ELOVL1
LOC139070035,elovl4a	ELOVL4
elovl4b	ELOVL4
elovl5	ELOVL5
elovl6	ELOVL6
elovl7a	ELOVL7
elp2	ELP2
elp3	ELP3
elp4	ELP4
elp5	ELP5
elp6	ELP6
adgrl4	ADGRL4
emb	EMB
emc1	EMC1
emc2	EMC2
emc3	EMC3
emc7b	EMC7
emc8	EMC8
emc9	EMC8
eme1	EME1
emid1	EMID1
emilin1a	EMILIN1
emilin2b	EMILIN2
emilin2a	EMILIN2
emilin3a	EMILIN3
eml1	EML1
eml2	EML2
eml3	EML4
LOC107376417	EML4
eml5	EML5
eml6	EML6
emp1	EMP1
LOC107376287	EMP1
emp2	EMP2
emp3a,emp3b	EMP3
emx2	EMX2
LOC107389442	EN1
en1b	EN1
en2b	EN2
enah	ENAH
LOC107374800	ENC1
endog	ENDOG
endou	ENDOU
LOC107397182	ENDOV
engl	TGFBR3
en2a	EN2
engase	ENGASE
enkd1	ENKD1
enkur	ENKUR
eno1a	ENO1
LOC107379466,LOC107394772	ENO2
LOC107379466	ENO2
eno3	ENO3
eno4	ENO4
enoph1	ENOPH1
enosf1	ENOSF1
enox1	ENOX1
enox2	ENOX2
enpep	ENPEP
enpp1	ENPP1
enpp2	ENPP2
enpp2l	ENPP2
enpp4	ENPP4
enpp5	ENPP5
enpp6	ENPP6
LOC139061477	ENPP7
ensab	ENSA
entpd2b	ENTPD2
entpd3	ENTPD3
entpd4	ENTPD4
entpd5a	ENTPD5
entpd5b	ENTPD5
entpd6	ENTPD6
LOC139070693	ENTPD7
eny2	ENY2
eogt	EOGT
eomesa	EOMES
eomesb	EOMES
ikzf4	IKZF1
ep300a	CREBBP
ep300b	EP300
ep400	EP400
epas1b	EPAS1
epb41a	EPB41
LOC107378670	EPB41
si:dkey-178k16.1	EPB41L1
LOC107385828	EPB41L1
epb41l2	EPB41L2
epb41l3b	EPB41L3
epb41l5	EPB41L5
dmtn	DMTN
LOC107386300	DMTN
LOC107383080	EPC1
LOC107383440	EPC1
epcam	TACSTD2
epd	EPDR1
epdr1	EPDR1
epg5	EPG5
epha2a	EPHA2
epha2b	EPHA2
epha3	EPHA3
epha4l	EPHA4
LOC107384118	EPHA4
epha6	EPHA6
ephb2b	EPHB2
LOC107392751	EPHB3
ephb6	EPHB6
ephx1	EPHX1
ephx2	EPHX2
ephx4	EPHX4
epm2a	EPM2A
epn1a	EPN1
epn2	EPN2
epn3b	EPN3
epor	EPOR
eprs1	EPRS
eps15	EPS15
LOC107383601	EPS15L1
eps15l1a	EPS15L1
eps8a	EPS8
eps8l1a	EPS8
LOC107388085	EPS8L3
eps8l2	EPS8
eps8l3b	EPS8L3
eps8l3a	EPS8L3
selenoi	SELENOI
epyc	EPYC
eral1	ERAL1
erap1b	ERAP1
zgc:55558	NRAS
erbb2	ERBB2
erbb3a	ERBB4
erbb3b	ERBB4
LOC107377226	ERBB4
LOC139069665	ERC1
LOC107388525	ERC1
LOC107385030	ERC1
ercc1	ERCC1
ercc2	ERCC2
ercc3	ERCC3
ercc4	ERCC4
ercc5	BIVM-ERCC5
ercc6	ERCC6
ercc6l	ERCC6L
ercc6l2	ERCC6L2
ercc8	ERCC8
LOC107394301	EREG
ergic1	ERGIC1
LOC107388930	ERGIC2
LOC107386414	ERGIC2
ergic3	ERGIC3
LOC107377637,LOC107391855	ERH
eri1	ERI1
thumpd1	THUMPD1
eri2	ERI2
erlec1	ERLEC1
erlin1	ERLIN1
LOC107374041	ERMP1
ern1	ERN1
ern2	ERN1
ero1b	ERO1B
erp44	ERP44
errfi1a	ERRFI1
LOC107390687	ERRFI1
esama	ESAM
esco2	ESCO2
esd	ESD
esf1	ESF1
esm1	ESM1
espl1	ESPL1
espn	ESPN
espnla	ESPNL
esr1	ESR1
esr2a	ESR2
esr2b	ESR2
esrp1	ESRP1
esrp2	ESRP2
esrra	ESRRB
esrrb	ESRRB
esrrgb	ESRRB
esrrga	ESRRG
LOC107378048	ESRRG
esyt1a	ESYT1
esyt1b	ESYT1
esyt2a	ESYT2
esyt2b	ESYT2
esyt3	ESYT3
etaa1b	ETAA1
etaa1a	ETAA1
etf1a	ETF1
etfa	ETFA
etfb	ETFB
etfdh	ETFDH
LOC107379305	ETHE1
ethe1	ETHE1
etnk1,etnk2	ETNK1
etv1	ETV1
etv4	ETV4
LOC107380917	ETV5
etv5a	ETV5
etv6	ETV6
etv7	ETV7
eva1ba	EVA1B
eva1c	EVA1C
LOC107385513	EVC
LOC107385511	EVC2
evi5b	EVI5
evi5l	EVI5L
evla	EVL
evlb	EVL
evpla	EVPL
evx1	EVX1
evx2	EVX2
ewsr1b	EWSR1
exd1	EXD1
exd2	EXD2
exd3	EXD3
exo1	EXO1
exoc1	EXOC1
exoc2	EXOC2
exoc3	EXOC3
exoc3l2a	EXOC3L2
LOC107391616	EXOC3L4
exoc4	EXOC4
exoc5	EXOC5
exoc6b	EXOC6B
exoc7	EXOC7
exoc8	EXOC8
exosc1	EXOSC1
exosc10	EXOSC10
exosc2	ABL1
exosc3	EXOSC3
exosc4	EXOSC4
exosc5	EXOSC5
exosc6	EXOSC6
exosc7	EXOSC7
exosc8	EXOSC8
exosc9	EXOSC9
LOC107378775,LOC139070038	EXT1
ext2	EXT2
ext1c	EXTL1
extl2	EXTL2
extl3	EXTL3
eya1	EYA1
eya2	EYA2
eya3	EYA3
eya4	EYA4
ezh1	EZH2
ezh2	EZH2
ezra	EZR
ezrb	EZR
f11r.1	JAM3
LOC107395342	F13A1
f13a1b	F13A1
f2	F2
f2r	F2R
f2rl1.1	F2RL1
LOC107374834	F2RL1
LOC107374830	F2RL2
LOC107381117	F2RL3
f3a	F3
LOC107384353	F3
f5	F5
f7	F7
f8	F8
f9b	F9
fa2h	FA2H
faah	FAAH
faah2b	FAAH2
LOC107394128	FABP1
LOC107377420,LOC107377864,fabp7a	FABP2
fabp2	FABP2
fabp3	FABP3
LOC107375524	FABP6
LOC107384210	FABP6
LOC107377420,LOC107377864,fabp7a	FABP7
fadd	FADD
faf1	FAF1
faf2	FAF2
fah	FAH
fahd2a	FAHD2B
faim2b	FAIM2
faima	FAIM
faimb	FAIM
rflna	RFLNA
rflnb	RFLNB
LOC107386045	FAM102A
eeig1b	FAM102A
LOC107384081	FAM102B
fam102bb	FAM102B
otulina	YAE1D1
LOC107382535	OTULIN
LOC107384867	FAM107A
fam107b	FAM107B
LOC107384127	ABHD17A
abhd17ab	ABHD17A
abhd17b	ABHD17B
pheta1	FAM109A
LOC107390492	FAM110A
wu:fa11c10	FAM110A
fam110b	FAM110A
fam110c	FAM110D
fam110d	FAM110D
fam113	PCED1A
fam114a1	FAM114A1
fam114a2	FAM114A2
zgc:162193	TCAF1
dennd6aa	DENND6A
fam117aa	FAM117A
LOC107387926	FAM117A
fam118b	FAM118B
fam120b	FAM120B
fam120c	FAM120A
pabir2	FAM122B
LOC107389666	FAM124A
LOC107380475	FAM124B
hycc1	FAM126A
LOC107390130	FAM126B
niban1a	FAM129A
niban1	FAM129A
niban2a	FAM129B
fam131ab	FAM131A
fam131aa	FAM131A
LOC107394830	FAM131A
fam131bb	FAM131A
fam131c	FAM131C
c1qtnf12	ERFE
fam133b	FAM133A
retreg2	FAM134A
retreg3	FAM134C
fam135a	FAM135A
fam135b	FAM135B
fam136a	FAM136A
fam13a	FAM13A
fam13b	FAM13B
LOC107387511	FAM13C
LOC107375952	FAM13C
fam149b1	FAM149B1
alkal1	FAM150A
alkal2a	FAM150B
fam151b	FAM151B
nalf1a	FAM155A
fhip1aa	FAM160A1
LOC107376795	FAM160A1
fhip1b	FAM160A2
fhip2a	FAM160B1
LOC107386211	FAM160B2
fam161a	FAM161A
fam163ab	FAM163A
LOC107392127	FAM163A
fam163ba	FAM163B
LOC107386195	FAM163B
LOC129164574	FAM167A
fam167ab	FAM167A
fam168a	FAM168A
fam168b	FAM168B
fam169b	FAM169B
fam171a1	FAM171A1
LOC107387292	FAM171A2
LOC107395712	FAM171B
arb2a	FAM172A
atpsckmt	FAM173B
abraxas1	FAM175A
abraxas2	FAM175B
fam177a1	FAM177A1
LOC107384794	FAM177A1
LOC107378238	FAM177B
slf2	SLF2
togaram1	FAM179B
LOC107392340	FAM181A
fam184ab	FAM184A
fam184aa	FAM184A
fam184b	FAM184B
fam185a	FAM185A
mindy3	FAM188A
mindy4	FAM188B
fam189a1	FAM189A1
fam189b	FAM189B
psme3ip1	FAM192A
fam193a	FAM193A
fam193b	FAM193B
mcrip2	MCRIP2
LOC107376616	MCRIP2
mcrip1	MCRIP1
LOC107387779	FAM196A
insyn2ab	FAM196A
LOC107386607	FAM196B
gask1b	FAM198B
fam199x	FAM199X
LOC107396425	FAM19A1
LOC107396426	FAM19A4
tafa4b	FAM19A4
tafa5	FAM19A5
hgh1	HGH1
fam204a	FAM204A
abitram	FAM206A
slx9	FAM207A
tasorb	FAM208A
tasora	FAM208A
tasor2	FAM208B
fam20a	FAM20A
fam20b	FAM20B
fam210ab	FAM210A
fam210b	FAM210B
lrrc75ba	LRRC75B
LOC107385726	FAM212A
inka1b	FAM212A
inka2	FAM212B
selenou1a	FAM213A
LOC107387658	FAM213A
prxl2b	FAM213B
atosa	FAM214A
atosb	FAM214B
fam217ba	FAM217B
fam219aa	FAM219A
fam219ab	FAM219A
fam219b	FAM219B
washc2c	FAM21A
fam221a	FAM221A
fam222aa	FAM222A
LOC107379975	FAM222B
fam222ba	FAM222B
LOC129152193	FAM26E
calhm6	FAM26F
fam32a	FAM32A
shld2	FAM35A
fam3a	FAM3C
fam3c	FAM3C
fam43a	FAM43A
fam43b	FAM43B
dennd10	FAM45A
LOC139066365	FAM46A
tent5aa	FAM46A
tent5ba	FAM46B
LOC107395190	FAM46B
tent5c	FAM46C
LOC107386563	FAM46D
tent5d	FAM46D
LOC107383723,fam49a,fam49al	FAM49B
fam49bb	FAM49B
fam50a	FAM50B
fam53b	FAM53B
LOC107375979	FAM53B
LOC107375373	FAM53C
fam53c	FAM53C
tlcd3bb	FAM57A
LOC139069986,tlcd3ba	FAM57A
ccnq	FAM58A
brinp3a.2	BRINP3
LOC107384423	BRINP3
brinp3a.1	BRINP3
sinhcaf	FAM60A
sinhcafl	FAM60A
LOC107381404	ZBED1
mindy1	FAM63A
mindy2	FAM63B
LOC107387002	FAM64A
ripor1	FAM65A
LOC107382701	FAM65A
LOC107381391	FAM65A
ripor2	FAM65B
ripor3	FAM65C
dipk1aa	FAM69A
dipk1b	FAM69B
dipk1c	FAM69C
LOC107385594	FAM72D
miga1	MIGA1
miga2	MIGA2
fam76b	FAM76B
fam78ab	FAM78A
fam78bb	FAM78B
LOC139069844	FAM83A
fam83b	FAM83B
LOC107382415	FAM83B
fam83d	FAM83D
fam83fa	FAM83F
fam83fb	FAM83F
fam83gb	FAM83G
LOC107376708	FAM83G
fam83ha	FAM83H
fam83hb	FAM83H
lratd1	FAM84A
lratd2a	FAM84B
lratd2b	FAM84B
eef2kmt	FAM86B1
fam89a	FAM89A
LOC107393765	FAM8A1
fam8a1a	FAM8A1
fam91a1	FAM91A1
cibar1	FAM92A
LOC107382715	FAM92B
ciao2a	FAM96A
ciao2b	FAM96B
fam98a	FAM98A
fam98b	FAM98B
im:7138535	FAM98B
fan1	FAN1
LOC107389291	FANCA
fancb	FANCB
fancc	FANCC
fancd2	FANCD2
fance	FANCE
fancg	FANCG
fanci	FANCI
fancl	FANCL
fancm	FANCM
fap	FAP
far1	FAR1
si:dkey-97m3.1	FAR2
LOC107380890	FARP1
LOC107389973	FARP1
farp2	FARP2
fars2	FARS2
farsa	FARSA
farsb	FARSB
fas	FAS
LOC107393463	TNFSF15
faslg	FASLG
fasn	FASN
fastk	FASTK
fastkd1	FASTKD1
fastkd2	FASTKD2
LOC107389961	FASTKD5
fat1a	FAT1
fat2	FAT2
fat4	FAT4
faua	FAU
faxca	FAXC
faxcb	FAXC
LOC107373802	FBF1
fbl	FBLL1
fblim1	FBLIM1
LOC107384015	FBLN1
fbln1	FBLN1
fbln2	FBLN2
fbln5	FBLN5
LOC107375761	FBLN7
fbn1	FBN1
fbn2b	FBN2
fbp1a	FBP1
fbp1b	FBP1
fbp2	FBP2
fbrsl1	FBRSL1
LOC107379313	FBXL7
fbxl14b	FBXL14
fbxl15	FBXL15
fbxl16	FBXL16
fbxl17	FBXL17
fbxl18	FBXL18
zgc:158376	KDM2B
fbxl2	FBXL2
fbxl20	FBXL20
fbxl22	FBXL22
fbxl3a	FBXL3
LOC107381633	FBXL3
fbxl4	FBXL4
fbxl5	FBXL5
fbxl6	FBXL6
LOC107382590	FBXL7
fbxo10	FBXO10
ecpas	KIAA0368
fbxo11a	FBXO11
fbxo11b	FBXO11
fbxo15	FBXO15
LOC107395250	FBXO15
fbxo18	FBXO18
fbxo2	FBXO2
fbxo21	FBXO21
fbxo22	FBXO22
fbxo25	FBXO25
fbxo28	FBXO28
fbxo3	FBXO3
fbxo30a	FBXO30
LOC107390763	FBXO40
LOC107377568	FBXO30
fbxo31	FBXO31
LOC107378781,LOC139070089	FBXO32
LOC107372884	FBXO33
fbxo34	FBXO34
fbxo38	FBXO38
fbxo4	FBXO4
LOC139062398	FBXO40
fbxo40.1	FBXO40
LOC107386893	FBXO40
klhdc3l	FBXO42
fbxo43	FBXO43
fbxo45	FBXO45
fbxo46	FBXO46
fbxo48	FBXO48
fbxo5	FBXO5
fbxo7	FBXO7
fbxo8	FBXO8
fbxo9	FBXO9
fbxw11a	BTRC
fbxw12	FBXW12
fbxw2	FBXW2
fbxw4	FBXW4
